2021-05-31 19:54:09.884 [restartedMain] INFO  com.java.blog.BlogserverApplication - Starting BlogserverApplication using Java 1.8.0_152 on DESKTOP-DHVP8FV with PID 4364 (D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server\target\classes started by 万直鹏 in D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server) 
2021-05-31 19:54:09.889 [restartedMain] INFO  com.java.blog.BlogserverApplication - The following profiles are active: dev 
2021-05-31 19:54:09.976 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2021-05-31 19:54:09.977 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2021-05-31 19:54:11.741 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http) 
2021-05-31 19:54:11.754 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"] 
2021-05-31 19:54:11.755 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat] 
2021-05-31 19:54:11.756 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45] 
2021-05-31 19:54:11.877 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2021-05-31 19:54:11.878 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1877 ms 
2021-05-31 19:54:13.016 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729 
2021-05-31 19:54:13.034 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"] 
2021-05-31 19:54:13.060 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path '' 
2021-05-31 19:54:13.073 [restartedMain] INFO  com.java.blog.BlogserverApplication - Started BlogserverApplication in 4.144 seconds (JVM running for 8.392) 
