2021-06-02 20:31:34.535 [restartedMain] INFO  com.java.blog.BlogserverApplication - Starting BlogserverApplication using Java 1.8.0_152 on DESKTOP-DHVP8FV with PID 5388 (D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server\target\classes started by 万直鹏 in D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server) 
2021-06-02 20:31:34.543 [restartedMain] INFO  com.java.blog.BlogserverApplication - The following profiles are active: dev 
2021-06-02 20:31:34.641 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2021-06-02 20:31:34.642 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2021-06-02 20:31:36.467 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http) 
2021-06-02 20:31:36.478 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"] 
2021-06-02 20:31:36.478 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat] 
2021-06-02 20:31:36.479 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45] 
2021-06-02 20:31:36.573 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2021-06-02 20:31:36.574 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1917 ms 
2021-06-02 20:31:37.679 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729 
2021-06-02 20:31:37.703 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"] 
2021-06-02 20:31:37.729 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path '' 
2021-06-02 20:31:37.743 [restartedMain] INFO  com.java.blog.BlogserverApplication - Started BlogserverApplication in 5.347 seconds (JVM running for 14.377) 
2021-06-02 20:37:03.151 [http-nio-9999-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021-06-02 20:37:03.152 [http-nio-9999-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
2021-06-02 20:37:03.153 [http-nio-9999-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms 
2021-06-02 20:37:03.238 [http-nio-9999-exec-1] INFO  com.java.blog.service.DictionaryService - 新增字典0-1111-1212-null-null 
2021-06-02 20:37:03.374 [http-nio-9999-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited 
2021-06-02 21:12:31.101 [restartedMain] INFO  com.java.blog.BlogserverApplication - Starting BlogserverApplication using Java 1.8.0_152 on DESKTOP-DHVP8FV with PID 11024 (D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server\target\classes started by 万直鹏 in D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server) 
2021-06-02 21:12:31.106 [restartedMain] INFO  com.java.blog.BlogserverApplication - The following profiles are active: dev 
2021-06-02 21:12:31.188 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2021-06-02 21:12:31.188 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
